customer_id,monthly_spending,visit_frequency
C001,520.50,12
C002,480.30,11
C003,510.80,13
C004,490.20,10
C005,505.60,12
C006,150.40,3
C007,180.20,4
C008,160.80,3
C009,140.50,2
C010,170.30,4
C011,920.70,25
C012,880.40,23
C013,950.20,26
C014,910.80,24
C015,930.50,25
C016,500.10,11
C017,495.30,12
C018,485.70,10
C019,515.90,13
C020,490.40,11
C021,155.60,3
C022,165.80,4
C023,145.20,2
C024,175.50,4
C025,160.90,3
C026,905.30,24
C027,895.70,23
C028,940.10,26
C029,915.60,25
C030,925.80,24
C031,510.20,12
C032,485.60,11
C033,505.40,13
C034,495.80,10
C035,500.70,12
C036,170.40,4
C037,150.80,3
C038,165.30,3
C039,155.90,2
C040,180.60,4
C041,930.20,25
C042,910.50,24
C043,895.80,23
C044,945.60,26
C045,920.30,25
C046,490.90,11
C047,505.30,12
C048,480.70,10
C049,515.40,13
C050,495.20,11
