customer_id,monthly_spending,visit_frequency
C001,520.50,12
C002,480.30,11
C003,510.80,13
C004,490.20,10
C005,505.60,12
C006,150.40,3
C007,180.20,4
C008,160.80,3
C009,140.50,2
C010,170.30,4
C011,920.70,25
C012,880.40,23
C013,950.20,26
C014,910.80,24
C015,930.50,25
C016,500.10,11
C017,495.30,12
C018,485.70,10
C019,515.90,13
C020,490.40,11
C021,505.10,12
C022,480.00,10
C023,145.20,2
C024,155.60,3
C025,170.00,4
C026,935.10,25
C027,905.40,24
C028,890.20,23
C029,150.00,3
C030,165.50,4
C031,505.00,12
C032,495.00,11
C033,480.50,10
C034,520.00,13
C035,140.00,2
C036,175.00,4
C037,930.00,25
C038,915.00,24
C039,885.00,23
C040,950.00,26
C041,510.00,13
C042,485.00,10
C043,495.50,11
C044,505.50,12
C045,160.00,3
C046,170.50,4
C047,150.20,3
C048,925.00,25
C049,905.00,24
C050,880.00,23
